modelo,params,f1_macro_cv,f1_macro_std,rank
KNN,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 3, 'clf__weights': 'uniform'}",0.8037263058545147,0.016969914453613365,10
KNN,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 3, 'clf__weights': 'distance'}",0.8186279368722683,0.022144627046411656,5
KNN,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'uniform'}",0.7910188366034012,0.018488540466828213,14
KNN,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'distance'}",0.8128205972334449,0.01936921399836053,6
KNN,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'uniform'}",0.8013078982968255,0.024951813402926456,11
KNN,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'distance'}",0.8092148924433408,0.019793895032808467,7
KNN,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 11, 'clf__weights': 'uniform'}",0.7700149018238089,0.036576933952580985,18
KNN,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 11, 'clf__weights': 'distance'}",0.7921704745626316,0.017222267296460987,13
KNN,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 15, 'clf__weights': 'uniform'}",0.7700018313905616,0.031830216679560965,19
KNN,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 15, 'clf__weights': 'distance'}",0.7818865153252114,0.0210336412851564,16
KNN,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 3, 'clf__weights': 'uniform'}",0.8254124407111701,0.016025114885892776,3
KNN,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 3, 'clf__weights': 'distance'}",0.8377853613627678,0.022915763378532527,1
KNN,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 5, 'clf__weights': 'uniform'}",0.8083088945163098,0.013522193155835846,8
KNN,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 5, 'clf__weights': 'distance'}",0.8258551675309331,0.01516404401451298,2
KNN,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 7, 'clf__weights': 'uniform'}",0.7998351954198888,0.02193400089341432,12
KNN,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 7, 'clf__weights': 'distance'}",0.8209448972624986,0.01992367097953541,4
KNN,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 11, 'clf__weights': 'uniform'}",0.7747398147614009,0.03326462525370266,17
KNN,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 11, 'clf__weights': 'distance'}",0.8042032944759047,0.017760310379974435,9
KNN,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 15, 'clf__weights': 'uniform'}",0.7608205153913224,0.031715226499407535,20
KNN,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 15, 'clf__weights': 'distance'}",0.7895368543292431,0.008325006860694744,15
