Modelo,Mejores hiperparametros,F1_macro_CV_mean,F1_macro_CV_std,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,Precision_Normal,Recall_Normal,F1_Normal,Precision_Sospechoso,Recall_Sospechoso,F1_Sospechoso,Precision_Patologico,Recall_Patologico,F1_Patologico,F1_macro_632,F1_OOB,CI95_low,CI95_high
LogReg,"{'memory': None, 'steps': [('scaler', StandardScaler()), ('clf', LogisticRegression(C=10.0, max_iter=2000, random_state=42))], 'verbose': False, 'scaler': StandardScaler(), 'clf': LogisticRegression(C=10.0, max_iter=2000, random_state=42), 'scaler__copy': True, 'scaler__with_mean': True, 'scaler__with_std': True, 'clf__C': 10.0, 'clf__class_weight': None, 'clf__dual': False, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__l1_ratio': None, 'clf__max_iter': 2000, 'clf__multi_class': 'auto', 'clf__n_jobs': None, 'clf__penalty': 'l2', 'clf__random_state': 42, 'clf__solver': 'lbfgs', 'clf__tol': 0.0001, 'clf__verbose': 0, 'clf__warm_start': False}",0.7889908688061958,0.02981935487986968,0.8904823876453236,0.7998240879607972,0.7839836605623438,0.9428799522366834,0.9477758719268152,0.9452560170818189,0.6567693939728917,0.6557624113475178,0.6556581777023203,0.7998229176728162,0.7484126984126984,0.7660584116344485,0.8086756081275466,0.7901366860185792,0.7471424028054928,0.8296563881886104
SVM,"{'memory': None, 'steps': [('scaler', StandardScaler()), ('clf', SVC(C=10.0, class_weight='balanced', gamma=0.1, random_state=42))], 'verbose': False, 'scaler': StandardScaler(), 'clf': SVC(C=10.0, class_weight='balanced', gamma=0.1, random_state=42), 'scaler__copy': True, 'scaler__with_mean': True, 'scaler__with_std': True, 'clf__C': 10.0, 'clf__break_ties': False, 'clf__cache_size': 200, 'clf__class_weight': 'balanced', 'clf__coef0': 0.0, 'clf__decision_function_shape': 'ovr', 'clf__degree': 3, 'clf__gamma': 0.1, 'clf__kernel': 'rbf', 'clf__max_iter': -1, 'clf__probability': False, 'clf__random_state': 42, 'clf__shrinking': True, 'clf__tol': 0.001, 'clf__verbose': False}",0.8440818236327312,0.02696441999717557,0.9122644456012493,0.8534880037891153,0.843257647846501,0.9574286429924653,0.9462721555174385,0.9515870905961471,0.7140814326443337,0.7983156028368794,0.7503004189356819,0.8889539357305474,0.7851851851851852,0.8303579613663647,0.8909900637791411,0.8398906716122214,0.8020728170511963,0.8764831047919401
DecisionTree,"{'memory': None, 'steps': [('clf', DecisionTreeClassifier(min_samples_split=10, random_state=42))], 'verbose': False, 'clf': DecisionTreeClassifier(min_samples_split=10, random_state=42), 'clf__ccp_alpha': 0.0, 'clf__class_weight': None, 'clf__criterion': 'gini', 'clf__max_depth': None, 'clf__max_features': None, 'clf__max_leaf_nodes': None, 'clf__min_impurity_decrease': 0.0, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__min_weight_fraction_leaf': 0.0, 'clf__monotonic_cst': None, 'clf__random_state': 42, 'clf__splitter': 'best'}",0.8822038765798166,0.025309367212604034,0.9293267395453757,0.89447344175749,0.8735565087384971,0.9538511603419157,0.9629159519725559,0.9582309436312165,0.7814615947840033,0.7654255319148937,0.7702855064557191,0.9481075701465507,0.8923280423280424,0.9180951796525136,0.8967857755039724,0.8515077462139321,0.8066835278257647,0.8905212384136476
KNN,"{'memory': None, 'steps': [('scaler', StandardScaler()), ('clf', KNeighborsClassifier(metric='manhattan', n_neighbors=3, weights='distance'))], 'verbose': False, 'scaler': StandardScaler(), 'clf': KNeighborsClassifier(metric='manhattan', n_neighbors=3, weights='distance'), 'scaler__copy': True, 'scaler__with_mean': True, 'scaler__with_std': True, 'clf__algorithm': 'auto', 'clf__leaf_size': 30, 'clf__metric': 'manhattan', 'clf__metric_params': None, 'clf__n_jobs': None, 'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'distance'}",0.8377853613627678,0.022915763378532527,0.9169703279541904,0.863276579543508,0.8185503494800297,0.9441885109514454,0.9719982847341339,0.9578459593869297,0.765626294974491,0.6770390070921986,0.7167838684279473,0.8800149327045877,0.8066137566137567,0.8387262562734261,0.8855434332171402,0.8191231428915999,0.7766602054004303,0.8580144796436109
